Word,Positivity,Negativity,Objectivity
उभरते हुए,0.0625,0.125,0.8125
उभर रहा है,0.0,0.0,1.0
असंतुष्ट,0.25,0.0,0.75
पारटुरियंट,0.125,0.0,0.875
मर रहा है।,0.03125,0.3125,0.65625
मर चुका है।,0.0,0.375,0.625
अंतिम,0.0019687414169311523,4.744529724121094e-05,0.9979838132858276
संक्षिप्त किया गया,0.0,0.0,1.0
काट लें।,0.01562646043749716,1.908280864881875e-06,0.984371631281638
संक्षिप्त करें,0.0,0.0,1.0
आधी लंबाई,0.1875,0.0,0.8125
पॉट किया गया,0.0,0.0,1.0
असंबद्ध,0.1875,0.15625,0.65625
पूर्ण लंबाई,0.375,0.0,0.625
बिना कटा हुआ,0.0546875,0.255859375,0.689453125
निरपेक्ष,0.12109375,0.30078125,0.578125
सीधे,0.07031258940696716,2.9802322387695312e-08,0.9296873807907104
अंतर्निहित,0.4375,0.25,0.3125
निर्विवाद,0.28125,0.578125,0.140625
अनंत।,0.0234375,0.0625,0.9140625
जी रहे हैं।,0.01123046875,0.00439453125,0.984375
रिश्तेदार,0.03125,0.0625,0.90625
तुलनात्मक,0.0625,0.125,0.8125
संबंधात्मक,0.0,0.0,1.0
अवशोषक,0.09375,0.0,0.90625
शर्बक,0.375,0.0,0.625
आत्मसात करना,0.0,0.75,0.25
आत्मसात करने वाला,0.0,0.75,0.25
हाइग्रोस्कोपिक,0.0,0.0,1.0
ग्रहणशील,0.125,0.015625,0.859375
आघात-अवशोषक,0.0,0.0,1.0
स्पंज,0.0625,0.0,0.9375
स्पंज के समान,0.0625,0.0,0.9375
प्यासी।,0.203125,0.125,0.671875
गैर-अवशोषक,0.0,0.375,0.625
गैर-अवशोषित,0.0,0.375,0.625
विकर्षक,0.0390625,0.21875,0.7421875
प्रतिरोधी,0.078125,0.46875,0.453125
अधिशोषक,0.0,0.0,1.0
सतह-समतुल्य,0.0,0.0,1.0
केमिसॉर्प्टिव,0.0,0.25,0.75
कीमोसोर्प्टिव,0.0,0.25,0.75
अवशोषणीय,0.5,0.0,0.5
अधिशोषणीय,0.25,0.0,0.75
अधिशोषित करें,0.3125,0.0,0.6875
रूखे-रूखे।,0.3125,0.0625,0.625
दूर रहने वाला।,0.0,0.46875,0.53125
तपस्वी,0.1875,0.09375,0.71875
कठोर,0.25,0.25,0.5
स्पार्टन,0.4375,0.1875,0.375
पेटू।,0.0,0.0,1.0
मूर्खतापूर्ण,0.0,0.25,0.75
बेहूदा।,0.0,0.5,0.5
होशियार।,0.0,0.0,1.0
गूढ़।,0.21875,0.375,0.40625
बदतमीजी।,0.0625,0.125,0.8125
रेवेनिंग,0.0625,0.125,0.8125
शरारतपूर्ण।,0.125,0.3125,0.5625
तेजतर्रार।,0.125,0.25,0.625
भेड़िया,0.0,0.0,1.0
लालची।,0.1875,0.125,0.6875
हॉगीश,0.0,0.125,0.875
पिगीश,0.0,0.125,0.875
पिगी,0.0,0.0625,0.9375
पोर्किन,0.0625,0.03125,0.90625
स्विनिश,0.125,0.375,0.5
अतिशयी।,0.125,0.375,0.5
बहुत लालची,0.125,0.375,0.5
अमूर्त,0.0,0.0625,0.9375
अवधारणात्मक,0.375,0.125,0.5
विचारशील,0.375,0.0,0.625
कल्पनाशील,0.109375,0.5625,0.328125
आदर्श,0.421875,0.0,0.578125
वैचारिक,0.0625,0.0625,0.875
विचारवादी,0.125,0.125,0.75
कंक्रीट,0.0390625,0.015625,0.9453125
उद्देश्य,0.03125,0.02734375,0.94140625
मूर्त।,0.203125,0.0,0.796875
प्रचुर मात्रा में,0.0,0.25,0.75
भरपूर,0.0390625,0.15625,0.8046875
बहुतायत में।,0.0625,0.125,0.8125
पर्याप्त है।,0.03125,0.0,0.96875
भरपूर मात्रा में,0.15625,0.0625,0.78125
अमीर।,0.08026123046875,0.013702392578125,0.906036376953125
भारी मात्रा में,0.0,0.0625,0.9375
आसान,0.11678314208984375,0.00611114501953125,0.877105712890625
प्रफुल्लित।,0.21875,0.28125,0.5
रसीला।,0.09375,0.203125,0.703125
लुभावनी,0.46875,0.0625,0.46875
भड़कीला।,0.09375,0.59375,0.3125
मोटा,0.000762939453125,0.0010986328125,0.998138427734375
लंबा।,0.21099853515625,0.21893310546875,0.570068359375
बहुतायत में,0.125,0.5,0.375
बहुतायत से,0.125,0.5,0.375
उमड़ पड़े हैं।,0.0625,0.25,0.6875
बड़े पैमाने पर,0.0,0.15625,0.84375
रैंक,0.328887939453125,0.103515625,0.567596435546875
उमड़ पड़ रही है।,0.0,0.0,1.0
मूसलाधार,0.03125,0.09375,0.875
हरा-भरा।,0.125,0.5,0.375
दुर्लभ।,0.0625,0.125,0.8125
दुर्लभ,0.2578125,0.33984375,0.40234375
तंग,0.20410919189453125,0.000438690185546875,0.7954521179199219
गाली-गलौज की।,0.1875,0.375,0.4375
खराब व्यवहार,0.0,0.625,0.375
दुर्व्यवहार किया गया।,0.0,0.625,0.375
कुचला गया।,0.0,0.75,0.25
अप्रचलित,0.25,0.25,0.5
स्वीकार्य है।,0.453125,0.0,0.546875
बैंक योग्य,0.125,0.0,0.875
असाधारण।,0.25,0.625,0.125
असहनीय,0.34375,0.265625,0.390625
अस्वीकार्य,0.203125,0.359375,0.4375
अपवादात्मक,0.0,0.375,0.625
आपत्तिजनक,0.0,0.5,0.5
सुलभ,0.4375,0.015625,0.546875
पहुँचने योग्य,0.390625,0.0,0.609375
आने योग्य,0.5625,0.0,0.4375
प्राप्त करने योग्य,0.625,0.0,0.375
उपलब्ध है।,0.625,0.0,0.375
उपयोगी,0.21875,0.15625,0.625
हाथ के लिए तैयार (_ to),0.125,0.125,0.75
अनुपलब्ध,0.125,0.28125,0.59375
पीछे की ओर,0.0625,0.0,0.9375
दूरस्थ,0.01953125,0.0,0.98046875
पथहीन,0.125,0.25,0.625
सड़क रहित,0.125,0.25,0.625
ट्रैकलेस,0.0625,0.125,0.8125
अनट्रैक किया गया,0.125,0.25,0.625
अनट्रोड,0.125,0.25,0.625
पहुँच नहीं पा रहे हैं।,0.0,0.0,1.0
पहुँच से बाहर,0.0,0.0,1.0
पहुँच से बाहर (_ o),0.0,0.0,1.0
आने योग्य नहीं,0.0,0.625,0.375
अन-गेट-एट-एबल,0.0,0.625,0.375
भूलने योग्य नहीं।,0.0,0.625,0.375
समायोजन,0.5,0.0,0.5
सहनीय,0.28125,0.03125,0.6875
शिकायतकर्ता,0.75,0.0,0.25
बाध्यकारी,0.75,0.0,0.25
बाध्यकारी नहीं,0.25,0.25,0.5
अवज्ञा करना।,0.125,0.25,0.625
असहयोगी,0.0625,0.4375,0.5
सटीक,0.3125,0.0,0.6875
बंद करें,0.06347801248921314,0.00024418178873020224,0.9362778057220567
वफादार,0.265625,0.078125,0.65625
मृत-पर,0.625,0.25,0.125
उच्च निष्ठा,0.5,0.125,0.375
हाई-फाई,0.125,0.03125,0.84375
शल्य चिकित्सा,0.15625,0.0,0.84375
सीधा,0.12941217422485352,0.004871964454650879,0.8657158613204956
सच है।,0.12068939208984375,0.0137939453125,0.8655166625976562
लक्ष्य पर मृत (_ on),0.125,0.0,0.875
सच बोलती है।,0.625,0.0,0.375
सही,0.040779788036161335,0.06256105007196311,0.8966591618918756
गलत,0.0723724365234375,0.6219635009765625,0.3056640625
दूर।,0.0,0.00146484375,0.99853515625
बाहर,0.001953125,0.0001220703125,0.9979248046875
दोषपूर्ण,0.3125,0.375,0.3125
बेवफा,0.25,0.203125,0.546875
व्यापक,0.012451171875,0.0103759765625,0.9771728515625
वाइड _ ऑफ _ द _ मार्क,0.0,0.625,0.375
अभ्यस्त।,0.25,0.0,0.75
उपयोग किया जाता है (_ to),0.0,0.375,0.625
सक्षम,0.1875,0.0,0.8125
असमर्थ,0.0625,0.40625,0.53125
एबैक्सियल,0.0,0.0,1.0
पृष्ठीय,0.0,0.0,1.0
अडैक्सियल,0.0,0.0,1.0
वेंट्रल,0.0,0.0,1.0
एक्रोस्कोपिक,0.0,0.0,1.0
बेसिस्कोपिक,0.0,0.0,1.0
अपहरणकर्ता,0.0,0.0,1.0
अपहरण,0.0,0.0,1.0
एड्यूसेंट,0.0,0.0,1.0
एडक्टिव,0.0,0.0,1.0
स्वीकार किया जा रहा है,0.0,0.0,1.0
नवजात,0.0,0.0,1.0
उभरते हुए,0.0625,0.125,0.8125
उभर रहा है,0.0,0.0,1.0
असंतुष्ट,0.25,0.0,0.75
पारटुरियंट,0.125,0.0,0.875
मर रहा है।,0.03125,0.3125,0.65625
मर चुका है।,0.06379055976867676,0.22781020402908325,0.70839923620224
अंतिम,0.0019687414169311523,4.744529724121094e-05,0.9979838132858276
संक्षिप्त किया गया,0.0,0.0,1.0
काट लें।,0.01562646043749716,1.908280864881875e-06,0.984371631281638
संक्षिप्त करें,0.0,0.0,1.0
आधी लंबाई,0.1875,0.0,0.8125
पॉट किया गया,0.0,0.0,1.0
असंबद्ध,0.09375,0.203125,0.703125
पूर्ण लंबाई,0.375,0.0,0.625
बिना कटा हुआ,0.0546875,0.255859375,0.689453125
निरपेक्ष,0.12109375,0.30078125,0.578125
सीधे,0.07031258940696716,2.9802322387695312e-08,0.9296873807907104
अंतर्निहित,0.4375,0.25,0.3125
निर्विवाद,0.28125,0.578125,0.140625
अनंत।,0.0234375,0.0625,0.9140625
जी रहे हैं।,0.01123046875,0.00439453125,0.984375
रिश्तेदार,0.03125,0.0625,0.90625
तुलनात्मक,0.0625,0.125,0.8125
संबंधात्मक,0.0,0.0,1.0
अवशोषक,0.09375,0.0,0.90625
शर्बक,0.375,0.0,0.625
आत्मसात करना,0.0,0.75,0.25
आत्मसात करने वाला,0.0,0.75,0.25
हाइग्रोस्कोपिक,0.0,0.0,1.0
ग्रहणशील,0.125,0.015625,0.859375
आघात-अवशोषक,0.0,0.0,1.0
स्पंज,0.0625,0.0,0.9375
स्पंज के समान,0.0625,0.0,0.9375
प्यासी।,0.203125,0.125,0.671875
गैर-अवशोषक,0.0,0.375,0.625
गैर-अवशोषित,0.0,0.375,0.625
विकर्षक,0.0390625,0.21875,0.7421875
प्रतिरोधी,0.078125,0.46875,0.453125
अधिशोषक,0.0,0.0,1.0
सतह-समतुल्य,0.0,0.0,1.0
केमिसॉर्प्टिव,0.0,0.25,0.75
कीमोसोर्प्टिव,0.0,0.25,0.75
अवशोषणीय,0.5,0.0,0.5
अधिशोषणीय,0.25,0.0,0.75
अधिशोषित करें,0.3125,0.0,0.6875
रूखे-रूखे।,0.3125,0.0625,0.625
दूर रहने वाला।,0.0,0.46875,0.53125
तपस्वी,0.1875,0.09375,0.71875
कठोर,0.25,0.25,0.5
स्पार्टन,0.4375,0.1875,0.375
पेटू।,0.0,0.0,1.0
मूर्खतापूर्ण,0.0,0.25,0.75
बेहूदा।,0.0,0.5,0.5
होशियार।,0.0,0.0,1.0
गूढ़।,0.21875,0.375,0.40625
बदतमीजी।,0.03125,0.390625,0.578125
रेवेनिंग,0.0625,0.125,0.8125
शरारतपूर्ण।,0.125,0.3125,0.5625
तेजतर्रार।,0.125,0.25,0.625
भेड़िया,0.0,0.0,1.0
लालची।,0.171875,0.125,0.703125
हॉगीश,0.0,0.125,0.875
पिगीश,0.0,0.125,0.875
पिगी,0.0,0.0625,0.9375
पोर्किन,0.0625,0.03125,0.90625
स्विनिश,0.125,0.375,0.5
अतिशयी।,0.125,0.375,0.5
बहुत लालची,0.125,0.375,0.5
अमूर्त,0.0,0.0625,0.9375
अवधारणात्मक,0.375,0.125,0.5
विचारशील,0.375,0.0,0.625
कल्पनाशील,0.109375,0.5625,0.328125
आदर्श,0.421875,0.0,0.578125
वैचारिक,0.0625,0.0625,0.875
विचारवादी,0.125,0.125,0.75
कंक्रीट,0.0390625,0.015625,0.9453125
उद्देश्य,0.03125,0.02734375,0.94140625
मूर्त।,0.203125,0.0,0.796875
प्रचुर मात्रा में,0.0,0.25,0.75
भरपूर,0.0390625,0.15625,0.8046875
बहुतायत में।,0.0625,0.125,0.8125
पर्याप्त है।,0.03125,0.0,0.96875
भरपूर मात्रा में,0.15625,0.0625,0.78125
अमीर।,0.08026123046875,0.013702392578125,0.906036376953125
भारी मात्रा में,0.0,0.0625,0.9375
आसान,0.11678314208984375,0.00611114501953125,0.877105712890625
प्रफुल्लित।,0.21875,0.28125,0.5
रसीला।,0.09375,0.203125,0.703125
लुभावनी,0.46875,0.0625,0.46875
भड़कीला।,0.09375,0.59375,0.3125
मोटा,0.000762939453125,0.0010986328125,0.998138427734375
लंबा।,0.21099853515625,0.21893310546875,0.570068359375
बहुतायत में,0.125,0.5,0.375
बहुतायत से,0.125,0.5,0.375
उमड़ पड़े हैं।,0.0625,0.25,0.6875
बड़े पैमाने पर,0.0,0.15625,0.84375
रैंक,0.328887939453125,0.103515625,0.567596435546875
उमड़ पड़ रही है।,0.0,0.0,1.0
मूसलाधार,0.03125,0.09375,0.875
हरा-भरा।,0.125,0.5,0.375
दुर्लभ।,0.0625,0.125,0.8125
दुर्लभ,0.2578125,0.33984375,0.40234375
तंग,0.20410919189453125,0.000438690185546875,0.7954521179199219
गाली-गलौज की।,0.1875,0.375,0.4375
खराब व्यवहार,0.0,0.625,0.375
दुर्व्यवहार किया गया।,0.0,0.625,0.375
कुचला गया।,0.0,0.75,0.25
अप्रचलित,0.1875,0.46875,0.34375
स्वीकार्य है।,0.453125,0.0,0.546875
बैंक योग्य,0.125,0.0,0.875
असाधारण।,0.25,0.625,0.125
असहनीय,0.34375,0.265625,0.390625
अस्वीकार्य,0.203125,0.359375,0.4375
अपवादात्मक,0.0,0.375,0.625
आपत्तिजनक,0.0,0.5,0.5
सुलभ,0.4375,0.015625,0.546875
पहुँचने योग्य,0.390625,0.0,0.609375
आने योग्य,0.5625,0.0,0.4375
प्राप्त करने योग्य,0.625,0.0,0.375
उपलब्ध है।,0.625,0.0,0.375
उपयोगी,0.21875,0.15625,0.625
हाथ के लिए तैयार (_ to),0.125,0.125,0.75
अनुपलब्ध,0.125,0.28125,0.59375
पीछे की ओर,0.0625,0.0,0.9375
दूरस्थ,0.01953125,0.0,0.98046875
पथहीन,0.125,0.25,0.625
सड़क रहित,0.125,0.25,0.625
ट्रैकलेस,0.0625,0.125,0.8125
अनट्रैक किया गया,0.125,0.25,0.625
अनट्रोड,0.125,0.25,0.625
पहुँच नहीं पा रहे हैं।,0.0,0.0,1.0
पहुँच से बाहर,0.0,0.0,1.0
पहुँच से बाहर (_ o),0.0,0.0,1.0
आने योग्य नहीं,0.0,0.625,0.375
अन-गेट-एट-एबल,0.0,0.625,0.375
भूलने योग्य नहीं।,0.0,0.625,0.375
समायोजन,0.5,0.0,0.5
सहनीय,0.28125,0.03125,0.6875
शिकायतकर्ता,0.75,0.0,0.25
बाध्यकारी,0.75,0.0,0.25
बाध्यकारी नहीं,0.25,0.25,0.5
अवज्ञा करना।,0.125,0.25,0.625
असहयोगी,0.0625,0.4375,0.5
सटीक,0.3125,0.0,0.6875
बंद करें,0.06347801248921314,0.00024418178873020224,0.9362778057220567
वफादार,0.265625,0.078125,0.65625
मृत-पर,0.625,0.25,0.125
उच्च निष्ठा,0.5,0.125,0.375
हाई-फाई,0.125,0.03125,0.84375
शल्य चिकित्सा,0.15625,0.0,0.84375
सीधा,0.12941217422485352,0.004871964454650879,0.8657158613204956
सच है।,0.12068939208984375,0.0137939453125,0.8655166625976562
लक्ष्य पर मृत (_ on),0.125,0.0,0.875
सच बोलती है।,0.625,0.0,0.375
सही,0.040779788036161335,0.06256105007196311,0.8966591618918756
गलत,0.0723724365234375,0.6219635009765625,0.3056640625
दूर।,0.0,0.00146484375,0.99853515625
बाहर,0.001953125,0.0001220703125,0.9979248046875
दोषपूर्ण,0.3125,0.375,0.3125
बेवफा,0.25,0.203125,0.546875
व्यापक,0.012451171875,0.0103759765625,0.9771728515625
वाइड _ ऑफ _ द _ मार्क,0.0,0.625,0.375
अभ्यस्त।,0.25,0.0,0.75
उपयोग किया जाता है (_ to),0.0,0.375,0.625
नया,0.1044921875,0.02978515625,0.86572265625
अप्रयुक्त,0.265625,0.28125,0.453125
अम्लीय,0.0625,0.25,0.6875
एसिड,0.015625,0.234375,0.75
अम्ल-निर्माण,0.0,0.5,0.5
क्षारीय,0.0625,0.1875,0.75
अल्क्लेसेंट,0.125,0.375,0.5
बुनियादी,0.046875,0.0,0.953125
आधार-निर्माण,0.125,0.125,0.75
नमक जैसा,0.25,0.125,0.625
एम्फोटेरिक,0.5,0.0,0.5
एम्फीप्रोटिक,0.5,0.0,0.5
एसिड-प्रेमी,0.0,0.25,0.75
एसिडोफिलिक,0.0,0.0,1.0
एसिडोफिलस,0.0,0.0,1.0
एसिड्यूरिक,0.0,0.0,1.0
क्षारीय-प्रेमी,0.0,0.25,0.75
स्वीकार किया गया,0.34375,0.0,0.65625
मान्यता प्राप्त,0.5,0.0,0.5
आत्म-स्वीकार,0.0,0.125,0.875
अनुमानात्मक,0.125,0.25,0.625
घोषित किया जा सकता है,0.375,0.0,0.625
दिया गया है।,0.046875,0.03125,0.921875
अनुमानित,0.125,0.0,0.875
अस्वीकृत,0.0,0.625,0.375
असम्मानित,0.0625,0.5,0.4375
अनसुना,0.0,0.5625,0.4375
मूल्यहीन,0.0,0.375,0.625
अपरिहार्य,0.25,0.21875,0.53125
रहस्य,0.049530029296875,0.14886474609375,0.801605224609375
अनजान,0.0625,0.625,0.3125
अधिग्रहणकारी,0.0,0.0,1.0
संचयी,0.1875,0.0,0.8125
ग्रैबी,0.0,0.0,1.0
समझ में आना,0.0,0.25,0.75
प्रीहेन्साइल,0.3125,0.0,0.6875
स्वामित्वाधीन,0.078125,0.125,0.796875
लूटपाट,0.0,0.0,1.0
पूर्वगामी,0.0,0.0,1.0
दुस्साहसी।,0.0,0.0,1.0
लुढ़काने वाला।,0.125,0.0625,0.8125
अविवेकी,0.0,0.5,0.5
एक्रोपेटल,0.0,0.0,1.0
बेसिपेटल,0.0,0.0,1.0
सक्रिय,0.1914520263671875,0.0003986358642578125,0.8081493377685547
के बारे में,0.00390625,0.001953125,0.994140625
अस्टिर,0.0,0.0,1.0
एक्रोबेटिक,0.375,0.0,0.625
एथलेटिक,0.15625,0.0,0.84375
जिमनास्टिक,0.1875,0.0,0.8125
फुर्तीला।,0.1875,0.0,0.8125
जल्दी करो।,0.017578125,0.017578125,0.96484375
स्प्राई करें।,0.0,0.0,1.0
गर्म।,0.04231691360473633,0.08150577545166016,0.8761773109436035
अति सक्रिय,0.25,0.0,0.75
चालू करें (_ the),0.125,0.0,0.875
स्पोर्टी,0.3125,0.0,0.6875
निष्क्रिय,0.0975341796875,0.3909912109375,0.511474609375
डेस्क-बाउंड,0.125,0.0,0.875
डेस्कबाउंड,0.125,0.0,0.875
अविकसित,0.25,0.375,0.375
सो रहा है।,0.03125,0.046875,0.921875
हाइपोएक्टिव,0.0,0.625,0.375
कम सक्रिय,0.0,0.625,0.375
सुस्त,0.0625,0.15625,0.78125
धुँधला।,0.0625,0.1875,0.75
टारपिड,0.125,0.0625,0.8125
गतिहीन,0.125,0.0,0.875
सक्रिय किया गया,0.015625,0.078125,0.90625
बंद कर दें।,0.0078125,0.36181640625,0.63037109375
सेवानिवृत्त,0.0,0.625,0.375
तेज,0.296875,0.015625,0.6875
हलचल मचाने वाली।,0.5,0.0,0.5
व्यस्त,0.2734375,0.0546875,0.671875
जा रहा है।,0.0,0.1875,0.8125
खोलें।,1.549633452668786e-07,1.1021977115888149e-05,0.9999888230595388
स्प्रिंगी,0.0625,0.1875,0.75
अंधेरा।,0.0258941650390625,0.2622528076171875,0.71185302734375
नीरस,0.018282413482666016,0.06858158111572266,0.9131360054016113
धीरे-धीरे,0.0,0.067138671875,0.932861328125
बेकार।,0.004150390625,0.09521484375,0.900634765625
स्ट्राईकबाउंड,0.0,0.0,1.0
प्रगतिशील,0.029296875,0.001953125,0.96875
अंतिम अंत,0.125,0.125,0.75
सपाट,0.12518346309661865,0.015946567058563232,0.8588699698448181
सक्षम,0.375,0.01953125,0.60546875
असमर्थ,0.0625,0.40625,0.53125
एबैक्सियल,0.0,0.0,1.0
पृष्ठीय,0.0,0.0,1.0
अडैक्सियल,0.0,0.0,1.0
वेंट्रल,0.0,0.0,1.0
एक्रोस्कोपिक,0.0,0.0,1.0
बेसिस्कोपिक,0.0,0.0,1.0
अपहरणकर्ता,0.0,0.0,1.0
अपहरण,0.0,0.0,1.0
एड्यूसेंट,0.0,0.0,1.0
एडक्टिव,0.0,0.0,1.0
स्वीकार किया जा रहा है,0.0,0.0,1.0
नवजात,0.0,0.0,1.0
उभरते हुए,0.0625,0.125,0.8125
उभर रहा है,0.0,0.0,1.0
असंतुष्ट,0.25,0.0,0.75
पारटुरियंट,0.125,0.0,0.875
मर रहा है।,0.03125,0.3125,0.65625
मर चुका है।,0.06379055976867676,0.22781020402908325,0.70839923620224
अंतिम,0.0019687414169311523,4.744529724121094e-05,0.9979838132858276
संक्षिप्त किया गया,0.0,0.0,1.0
काट लें।,0.01562646043749716,1.908280864881875e-06,0.984371631281638
संक्षिप्त करें,0.0,0.0,1.0
आधी लंबाई,0.1875,0.0,0.8125
पॉट किया गया,0.0,0.0,1.0
असंबद्ध,0.09375,0.203125,0.703125
पूर्ण लंबाई,0.375,0.0,0.625
बिना कटा हुआ,0.0546875,0.255859375,0.689453125
निरपेक्ष,0.12109375,0.30078125,0.578125
सीधे,0.07031258940696716,2.9802322387695312e-08,0.9296873807907104
अंतर्निहित,0.4375,0.25,0.3125
निर्विवाद,0.28125,0.578125,0.140625
अनंत।,0.0234375,0.0625,0.9140625
जी रहे हैं।,0.02187657356262207,0.002197265625,0.9759261608123779
रिश्तेदार,0.03125,0.0625,0.90625
तुलनात्मक,0.0625,0.125,0.8125
संबंधात्मक,0.0,0.0,1.0
अवशोषक,0.09375,0.0,0.90625
शर्बक,0.375,0.0,0.625
आत्मसात करना,0.0,0.75,0.25
आत्मसात करने वाला,0.0,0.75,0.25
हाइग्रोस्कोपिक,0.0,0.0,1.0
ग्रहणशील,0.125,0.015625,0.859375
आघात-अवशोषक,0.0,0.0,1.0
स्पंज,0.0625,0.0,0.9375
स्पंज के समान,0.0625,0.0,0.9375
प्यासी।,0.203125,0.125,0.671875
गैर-अवशोषक,0.0,0.375,0.625
गैर-अवशोषित,0.0,0.375,0.625
विकर्षक,0.0390625,0.21875,0.7421875
प्रतिरोधी,0.078125,0.46875,0.453125
अधिशोषक,0.0,0.0,1.0
सतह-समतुल्य,0.0,0.0,1.0
केमिसॉर्प्टिव,0.0,0.25,0.75
कीमोसोर्प्टिव,0.0,0.25,0.75
अवशोषणीय,0.5,0.0,0.5
अधिशोषणीय,0.25,0.0,0.75
अधिशोषित करें,0.3125,0.0,0.6875
रूखे-रूखे।,0.3125,0.0625,0.625
दूर रहने वाला।,0.0,0.46875,0.53125
तपस्वी,0.1875,0.09375,0.71875
कठोर,0.25,0.25,0.5
स्पार्टन,0.4375,0.1875,0.375
पेटू।,0.0,0.0,1.0
मूर्खतापूर्ण,0.0,0.25,0.75
बेहूदा।,0.0,0.5,0.5
होशियार।,0.0,0.0,1.0
