['अनौपचारिकता', 'अनौपचारिकीकरण', 'लिएपाठ्यक्रमअनौपचारिक', 'निरौपचारिक', 'अनौपचारिका', 'औपचारिक', 'पचारिक']
['कुभाँति', 'लोगशाँति', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', 'भाँतिन्ह', 'प्राचीन_भारत_की_आर्थिक_संस्थाएं', 'भारत_के_बाघ_संरक्षित_क्षेत्र', 'भांतिभांति']
['अरिक्त', 'रिक्तयां', 'खाली', 'अतीरिक्त', 'बैकलाॅग', 'बैकलाग', 'पदों']
['संरचना', 'संरचनत्मक', 'संरचनात्मकोत्तर', 'संरचनाओं', 'सरचनात्मक', 'संरचनात्मकता', 'संरचनामहत्वपूर्ण']
['कलटोरा', 'टमटोरा', 'मनटोरा', 'खटोरा', 'एककटोरा', 'लहटोरा', 'घटोरा']
['शकरखोरा', 'पनकौआ', 'पनकौओं', 'चुगती', 'जलकाक', 'मृगछौने', 'छ्ड़']
['धड़कनी', 'धड़कनो', 'धड़काए', 'धड़कने', 'धड़कना', 'धड़कनके', 'धड़कन']
['एवंतकनीकी', 'XPतकनीकी', 'मौततकनीकी', 'है.तकनीकी', 'स्टाफतकनीकी', 'ककनीकी', 'भाषा_तकनीकी']
['धर्मभवना', 'उदारमतवादी', 'उदारचेता', 'उदारशरद', 'उदारपंथी', 'उदारमन', 'उदारता']
['निरोग\u200c', 'निरोगीपन', 'निरोग्य', 'निरोगी', 'निरोगित', 'निरोग', 'निरोगिकाया']
['दुर्गुणो', 'दुर्गुण', 'दुर्गुणरहित', 'सदगुणी', 'दुर्गुणां', 'अवगुणी', 'दुर्गुणों']
['विपरित', 'विपरीतजो', 'इसके', 'विपरीतों', 'प्रतिकूल', 'विपरीतGL3200', 'उलट']
['महत्त्वाकांक्षी', 'महत्वकांक्षी', 'अतिमहत्वाकांक्षी', 'मह्त्वाकांक्षी', 'महत्वाकांक्षओं', 'महत्वाकांक्ष', 'पदाकांक्षी']
['pmसज्जन', 'सज्जनराज', 'सज्जनो', 'सज्जनलोग', 'सज्जनगड', 'सज्जनगण', 'सज्जन’May']
['कुस्वभाव', 'स्वभावधर्म', 'स्वभावयुक्त', 'सुखदु:खस्वभावों', 'स्वभाव्', 'स्वभावो', 'स्वभावं']
['सहजता', 'स्वाभाविक', 'संप्रेषणीय', 'प्रवाहमयी', 'हैसहजता', 'सहजतापूर्ण', 'बोधगम्य']
['मेंप्रवाहित', 'प्रवाहत', 'प्रवाहिता', 'प्रवाहमान', 'प्रवाहिनी', 'प्रवाहन', 'बहती']
['अनपेक्ष', 'अनपेक्ष्य', 'अनापेक्षित', 'अनअपेक्षित', 'अप्रत्याशित', 'पेक्षित', 'आपेक्षितता']
['ढलवा', 'ढलवाँपन', 'ढलवां', 'कलईदार', 'कूपक', 'लोहे', 'ओलती']
['निकम्में', 'निकम्मापन', 'निकम्मो', 'निकम्मे', 'निकम्मी', 'निकम्मेपन', 'निकम्\u200dमेपन']
['आँशू', 'छोडये', 'तुमये', 'करइक', 'परखुद', 'हैखेल', 'फनाह']
['फौलादगर', 'फ़ौलादी', 'फौलाद', 'WS2', 'जलादी', 'ऐलादी', 'प्ना']
['कण्ठ्य', 'सघोष', 'ओष्ठ्य', 'छ़', 'ञ़्अ', 'दंतोष्ठ्य', 'retroflex']
['कठोराणि', 'स्रोतTopYapsशेयर', 'टिकटबुकिंगकरतेवक्\u200dतIRCTCडालरहाहैआपकीजेबपरडाकामोबाइलपरइंटरनेटकेबादअबबातकरनाभीहुआमहंगाइनकमटैक्\u200dसबचानेकेसातउपायमोबाइलपरमुफ्तरोमिंगकीशुरुआत', 'न्याय_में_विलंब_क्यों', 'KEDE', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', 'प्राचीन_रोम_में_धर्म']
['केमादक', 'मनोंमादक', 'नशीले', 'मादकपान', 'है.मादक', 'अमादक', 'सेमादक']
['अहानिकारक', 'नुकसानदेह', 'स्वास्थ्यहानिकारक', 'हानिकार', 'गैरहानिकारक', 'लाभदायक', 'हानिकर']
['अपमानजक', 'आपमानजनक', 'असम्मानजनक', 'अपमानी', 'गैरजिम्मेदाराना', 'अपमानभरी', 'असम्\u200dमानजनक']
['लाडकुमारी', 'कुमारी8', 'शैलकुमारी', 'कुमारीडॉ०', 'कुमारीस', '32सीकरराज', 'कुमारिदेवी']
['जंतुआलय', 'जंतुआं', 'जंतुफल', 'जंतुरोग', 'जंतुजाति', 'जलजंतु', 'जंतुनिवह']
['स्वस्थ\u200d', 'स्वस्था', 'स्वस्थ्', 'सुस्वस्थ', 'स्वस्थइस', 'स्वस्थ्यता', 'स्वस्थइन']
['स्वर्गीया', '1455स्वर्गीय', 'यारूलोक', '1448स्वर्गीय', 'डिठा.स्वर्गीय', '1446स्वर्गीय', 'रमणीमोहन']
['Eulaliopsis', 'जायेदिल', 'गट्ठा', 'binata', 'कँटीली', 'घांस', 'जातामैं']
['आज', 'भी', 'तब', 'ही', 'वो', 'ये', 'यह']
['पार्कऔर', 'पार्कगली', 'पार्क़िग', 'पार्कबदाहल', 'पार्कौर', '8पार्क', '2पार्क']
['समझपूर्वक', 'दंभपूर्वक', 'श्रदापूर्वक', 'निच्च्ठापूर्वक', 'मनःपूर्वक', 'ईर्षापूर्वक', 'समीहापूर्वक']
['गुदेदार', 'गूदें', 'गुद्देदार', 'गददेदार', 'फंदेदार', 'गूद्देदार', 'गुठलीदार']
['तद्\u200cविषयक', "सन्दर्भ'विषयक", 'शिक्षणविषयक', 'शिक्षाविषयक', 'आत्मविषयक', 'गणितविषयक', 'संगीतविषयक']
['व्यावहारिक', 'असैद्धांतिक', 'सैद्घांतिक', 'सैद्धांतिकता', 'सैद्धांतिकरूपे', 'सैद्वांतिक', 'सैंद्धांतिक']
['रक्तहीनता', 'रक्तहंस', 'वित्तहीन', 'रक्तसना', 'खेतहीन', 'तहीन', 'रक्तरंजित']
['श्रेयस्कार', 'श्रेयस्', 'श्रेयष्कर', 'निःश्रेयस्', 'श्रेयसकर', 'श्रेयकर', 'श्रेयस्\u200dकर']
['AMअनुकरणीय', 'amअनुकरणीय', 'pmअनुकरणीय', 'अनुकरणीय़', 'अनुकरणीयता', 'अननुकरणीय', 'अलघुकरणीय']
['असत्कृत', 'सीत्कृत', 'निर्धूतोत्कृत', 'सत्कविः', 'सत्कुल', 'सत्कृति', 'सत्कवि']
['योगदान', 'उल्लेख्नीय', 'विशेष', 'महत्वपूर्ण', 'है.उल्लेखनीय', 'echidna', 'किलडिअर']
['अनिंदनीय', 'निंदनिय', 'बंदनीय', 'निन्दनीय', 'दुर्भाग्यपूर्ण', 'अशोभनीय', 'निंदन']
['दुविधाका', 'दुविधाओ', 'दुविधाये', 'गीलेधूप', 'बाधाहीन', 'दुविधायुक्त', 'सुविधाहीन']
['समझ', 'पूर्णमिति', 'जागेहु', 'लांघकर', 'दायरे', 'मोलाकानुरू', 'अणयते']
['है.फिलहाल', 'फ़िलहाल', 'हालफिलहाल', 'लेकिन', 'लिहाजा', 'फ\u200dिलहाल', 'हैफिलहाल']
['प्रसन्नतापूर्वक', 'प्रसन्नतापूर्ण', 'अप्रसन्नता', 'अप्रसन', 'प्रसन्नतार्थ', 'प्रसन्नतापूवर्क', 'प्रसन्\u200dनतापूर्वक']
['स्वतःचालित', 'कोशिकामृत्यु', 'स्फूर्त', 'स्वतःकोशिकामृत्यु', 'स्वतःही', 'नियंत्रण\u200e', 'लातवीयाई']
['अतिशीध्र', 'शीघ्रतिशीघ्र', 'शीघातिशीघ्र', 'अतिशीघ्री', 'शीघ्रातिशीघ्र', 'शीघ्र', 'pmशीघ्र']
['अतिशीध्र', 'शीघ्रतिशीघ्र', 'शीघातिशीघ्र', 'अतिशीघ्री', 'शीघ्रातिशीघ्र', 'शीघ्र', 'pmशीघ्र']
['27604खुलेआम', '37782खुलेआम', 'ख़ुलेआम', 'मलबाखुलेआम', 'ख़ुलेआम', 'में37782खुलेआम', 'पार्टीखुलेआम']
['बेहद', 'अत्यंत', 'इतनी', 'सबसे', 'बहुतबहुत', 'ज्यादा', 'कुछ']
['अग्रत', 'अग्रक', 'अग्रनमन', 'अग्रमस', 'अग्रतर', 'अग्रंेजी', 'अग्रपडा']
['अरविडुC', 'अरविदं', 'U.S.floz', 'अरवि', 'माॅंगना', 'U.S.flgal', 'अरविडु']
['पूर्वि', 'पूर्वहुँ', 'पूर्व_तटीय_रेलवे', 'पूर्वधर', 'पूर्वजकेँ', 'पूर्वदशम्', 'पूर्वचयनित']
['दृश्य़', 'दृश्य्', 'दृश्यबंध', 'दृश्यअरब', 'दृश्यः', 'दृश्य11', 'दृश्यगत']
['भविष्यफ़ल', 'भविष्यि', 'भविष्यआइ', 'भविष्य7', 'भविष्यय', 'भविष्यन', 'भविष्यफ़ल']
['उपर', 'उठकर', 'हैनीचे', 'सेनीचे', 'निचे', 'नीचेएक', 'उठाकर']
['विस्तारपूर्ण', 'विस्\u200dतारपूर्वक', 'विरत्तारपूर्ण', 'बारे', 'बिंदुवार', 'विस्तृत', 'वर्णन']
['अथवाअन्यत्र', 'अन्यत्', 'अन्यत्रा', 'अन्यत्न', 'विदुषेऽन्यत्र', 'अन्यत्म', 'बलादन्यत्र']
['बंधनान', 'बंधनबस', 'बंधना', 'बंधनहै', 'बंधनो', 'बन्धन', 'बंधनमत']
['लगतार', 'पिछले', 'बार', 'लगातर', 'निरन्तर', 'सालों', 'वर्षों']
['कठिनाई\u200d', 'कठिनाईयोँ', 'कठिनाह', 'कठिनाइओं', 'कठिनाई.एक', 'कठिना', 'कठिनाईपूर्वक']
['सहशैक्षिक', 'अशैक्षिक', 'शैक्षणिक', 'षैक्षिक', 'मानदंड:शैक्षिक', 'थी.शैक्षिक', 'विवरणशैक्षिक']
['कार्यकरना', 'कामकरना', 'परिवर्तनं', 'बैठेकरना', 'प्रचारकरना', 'परिवर्तनएक', 'ग्रहणकरना']
['छोड़', 'छोड़ने', 'छोड़ना', 'पछोड़ना', 'छोड़नी', 'स्र्ख़सत', 'छोड़न']
['सुपाच्च', 'कुपाच्य', 'सुपाच्यता', 'सुपाचक', 'पचने', 'पाच्य', 'पोषणयुक्त']
['सोंचना', 'AMसोचना', 'शायदसोचना', 'हैसोचना', 'करना', 'ज्यादासोचना', 'सोचनाकि']
['बोकरना', 'कोकरना', 'पोषितसंस्थान', 'मलकरना', 'हमकरना', 'चिकरना', 'बैठेकरना']
['अल्बानियाऔर', 'अल्बानियन', 'अल्बानिय', 'अल्बानिया', 'अल्बानि', 'लिथुनियाई', 'बॉसनियाई']
['कोलोहर्ट्ज', 'हर्ट्ज़', 'टेराहर्ट्ज', 'हैरिक', 'यूनीहर्ट्ज', 'गीमाहर्ट्ज', '176किलोहर्ट्ज़']
['कोकरना', 'बोकरना', 'पकरना', 'हमकरना', 'चिकरना', 'कुछकरना', 'मलकरना']
['सुकड़ना', 'हँकड़ना', 'अँकड़ना', 'कुकड़ना', 'पकड़ना', 'पकड़ने', 'पकडऩा']
['ढुलान', 'माल', 'गट्ठो', 'मालभाड़ा', 'मालभाड़े', 'ढ़ुलाई', 'वैगनों']
['उइगे', 'टिपज़ा', 'बेजैअ', 'फिएर', 'बोउइरा', 'लाघौत', 'कुकेस']
['सहलाने', 'सहलाओ', 'सहलाव', 'चूमना', 'सहलादो', 'सहलाऊं', 'सहलाकर']
['पोतने', 'पोतन्न', 'पोतनी', 'पोतन', 'लीपने', 'पोतनायक', 'पोतनेवाले']
['दबाने', 'मसलना', 'तेरेदबाना', 'कुचलना', 'भींचना', 'दबा', 'दबानी']
['वागवानी', 'मिशनउस', 'मिशनआभा', 'इंपॉसिबल', 'मिशनहैती', 'लिवेलिहूदस', 'मिशनमंगल']
['धियाना', 'समधियाना', 'लुुधियाना', 'मौतलुधियाना', 'अधियाना', 'PMलुधियाना', 'डिगियाना']
['टकराऊं', 'टकराब', 'टकरार', 'टकराएखाल', 'टकराओ', 'टकराइत', 'टकराओगे']
['धुसरित', 'चटाकर', 'चटा', 'चटाते', 'धक्कड़', 'धुल', 'फांकते']
['येतना', 'सकेतना', 'घोटना', 'सेतना', 'घिसना', 'सुरेतना', 'हैचेतना']
['ऐंटिओप', 'होJiski', 'होJiske', 'होJisme', 'होJiska', 'कबीरबड़', 'कुरबड़']
['नक्क़ाशीदार', 'नकाशीदार', 'नक्काशि', 'नक्काशे', 'नक्काशीनुमा', 'नक्काशी_', 'नक्काशीयुक्त']
['उतारनी', 'उकतारना', 'उतारनाभयार', 'उतरना', 'निसतारना', 'उतार', 'पड़तारना']
['सोसइटी', 'मुहर', 'मोहरिर्र', 'मोहरि', 'मोहरका', 'मोहरसँ', 'मोहरौ']
['चिकरना', 'हमकरना', 'मलकरना', 'कोकरना', 'बोकरना', 'अभीकरना', 'निकरना']
['छानने', 'छाननी', 'छानन', 'छाननहार', 'निथारना', 'सनानना', 'दानना']
['प्रेमासक्\u200dत', 'प्रेमासित', 'प्रेमातुर', 'प्रेमाबहन', 'प्रेमास्पद', 'कामासक्त', 'प्रेमावेग']
['खोलने', 'खोलनी', 'टटोलना', 'खोलन', 'खोलकर', 'ङोलना', 'खुल']
['लोहलंगर', 'आकबतीलंगर', 'लंगरवा', 'लंगरों', 'लंगरॆत्तुमु', 'धातूइय', 'लंगरी']
['पंजां', 'सालमपंजा', 'पंजांङ', 'सलमपंजा', 'पंजे', 'लालपंजा', 'पंजातन']
['तलाशना', 'खोजनए', 'ढूढ़ना', 'ढूँढना', 'ढूंढ़ना', 'ढूंढ़ना', 'ढूँढ़ना']
['हत्या3', 'हत्या15', 'हत्या4', 'हत्याकर', 'हत्याBy', 'हत्याआज', 'हत्याजो']
['ढैंचा', 'ढैंचे', 'रिजका', 'मोथी', 'गहाई', 'Ipomea', '387190']
['अतिआच्छादित', 'सर्वआच्छादित', 'बनाआच्छादित', 'अच्छादित', 'वृक्षाच्छादित', 'आच्छाद', 'मेधाच्छादित']
['बेढ़ना', 'आछढ़ना', 'चाढ़ना', 'नढ़ना', 'पौढ़ना', 'कढ़ना', 'चिढ़ना']
['परपड़ा', 'तापड़ा', 'बापड़ा', 'पिपड़ा', 'लपड़ा', 'चापड़ा', 'अपड़ा']
['अटकाय', 'सटकाना', 'अटकाता', 'टकटकाना', 'छिटकाना', 'कटकाना', 'पटकाना']
['बगेरहाट', 'झिनाइदह', 'चुलना', 'मागुरा', 'ढुलना', 'चुय़ाडाङ्गा', 'खुलन']
['करबकाना', 'टसकाना', 'झँकाना', 'अँकाना', 'लहकाना', 'तकाना', 'रड़काना']
['निचोड़न', 'निचोड़ें', 'निचोड़ने', 'निचोड़ों', 'निचोड़ते', 'निचोड़कर', 'छ्चोड़ना']
['खोलने', 'खोलनी', 'टटोलना', 'खोलन', 'खोलकर', 'ङोलना', 'खुल']
['स्क्रूगेज', 'स्क्रूइंग', 'स्क्रूहेड', 'स्क्रूपल', 'कॉकस्क्रू', 'कोर्कस्क्रू', 'स्क्रूल']
['स्क्रूगेज', 'स्क्रूइंग', 'स्क्रूहेड', 'स्क्रूपल', 'कॉकस्क्रू', 'कोर्कस्क्रू', 'स्क्रूल']
['होघूमना', 'आमनघूमना', 'धूमना', 'लूमना', 'भूमना', 'टूमना', 'नूमना']
['गूथने', 'फ्लपी', 'गूंद', 'गूथे', 'फैटें', 'फैटे', 'फैटने']
['दिखावटीपन', 'दिखाव', 'दिखावी', 'दिखावइ', 'दिखावण', 'दिखावेपन', 'दिखावहु']
['चढ़ाने', 'चढ़ाना', 'चढाना', 'चढ़ाऊं', 'चढ़ाऐं', 'चढ़ाऊ', 'चढ़ान']
['ठुकराने', 'ठुकराइए', 'ठुकराय', 'ठुकराऊँ', 'ठुकराओगे', 'ठुकरावथे', 'ठुकराया']
['ठुकराने', 'ठुकराइए', 'ठुकराय', 'ठुकराऊँ', 'ठुकराओगे', 'ठुकरावथे', 'ठुकराया']
['जलवर्षा', 'बर्षा', 'PMवर्षा', 'सुखवर्षा', 'amवर्षा', 'AMवर्षा', 'pmवर्षा']
['पलटना', 'सुलटना', 'बिलटना', 'उलटनी', 'लटना', 'उलटन', 'पलटती']
['फ़ैलाना', 'फैलानी', 'पैलाना', 'फेलाना', 'फैलान', 'फैलाने', 'फैलाया']
['अलबेनियाई', 'तस्मेनियाई', 'लिथुयेनियाई', 'रोमेनियाई', 'केनियाई', 'बॉसनियाई', 'लिथुनियाई']
['छहमासिक', 'त्रिमासिक', 'है.मासिक', 'मासिकस्राव', 'तैमासिक', 'मूल्यमासिक', 'चातुमासिक']
['AMसाप्ताहिक', 'मईसाप्ताहिक', '2साप्ताहिक', 'द्विसाप्ताहिक', 'अखबारसाप्ताहिक', 'त्रैसाप्ताहिक', "थे'साप्ताहिक"]
['रोज', 'प्रतिदिनि', 'उपयोगप्रतिदिन', 'दिनप्रतिदिन', '175,495', 'हाथिओं', 'संगबाद']
['लज्जाहीन', 'लज्जाशन्य', 'लज्जारुण', 'लज्जावह', 'लज्जालु', 'लज्जाकुल', 'लज्जावान']
['अविलंभ', 'अविलंबिता', 'अविलंबनीय', 'यथाशीघ्र', 'शीघ्र', 'अविलम्ब', 'अविलंबता']
['बुहारनी', 'बुहारने', 'जूहारना', 'अहारना', 'बुहारू', 'बुहारन', 'बुहारूं']
['हिटलरने', 'अलेखुन', 'हिटलरशरद', 'हिटलरी', 'पाऊला', 'हिटलरों', 'हिटल']
['कोलाहलु', 'कोलाहलमय', 'कोलाहला', 'महाकोलाहल', 'जोलाहल', 'राजकोलाहल', 'कोलाहलों']
['आघाते', 'आघातसँ', 'आघातिक', 'आघातित', 'आघातज', 'आघातों', 'आघातीय']
['मथनाचल', 'मथा', 'मथकर', 'मथ', 'मंथन', 'मथनी', 'दधि']
['काँपकर', 'काँपए', 'काँपें', 'काँपि', 'काँपैत', 'काँपने', 'काँपेगा']
['उचाटना', 'गलेचाटनाचाटना', 'चाटना2359चूत', 'गलेचाटना', '2868चाटना', 'चूसनागुदाचाटना', 'गलेगुदाचाटना']
['सड़क_पर_रोष_व्यक्त_करना', 'चंदेना', 'भाषण_ही_है_शासन', 'निकालतासंयंत्र', 'जाएगाया', 'समर्थनटाइगर', 'निर्णयलेने']
['देना', 'करने', 'करवाना', 'चाहिए', 'कराना', 'रखना', 'करनी']
['कमताना', 'पताना', 'वताना', 'नौताना', 'बुताना', 'याताना', 'PMताना']
['झड़ाना', 'हड़हड़ाना', 'फड़ाना', 'मुँड़ाना', 'ऐंड़ाना', 'सपड़ाना', 'अरड़ाना']
['नोंचना', 'काट', 'छीलना', 'काटा', 'निझाटना', 'डाटना', 'भोंकना']
['कुतरो', 'कुतरता', 'कुतरकर', 'कुतरने', 'कुतरु', 'कुतराई', 'कुतरते']
['अविलंभ', 'अविलंबिता', 'अविलंबनीय', 'यथाशीघ्र', 'शीघ्र', 'अविलम्ब', 'अविलंबता']
['घुमाने', 'घूमाना', 'उचकाना', 'घुमाएब', 'टहलाना', 'घुमाऊ', 'घुमाईए']
['मींचना', 'फींचना', 'खिंचना', 'भींचना', 'खीचना', 'खींचनी', 'खेंचना']
['घसीटन', 'घसीटने', 'घसीटिए', 'घसीटो', 'घसीटामार', 'घसीटू', 'घसीटत']
['घिसटने', 'घिसटी', 'घिसटकर', 'घिसटा', 'घिसट', 'घिसटती', 'घिसटते']
['फहराना', 'लहराओ', 'लहराऊं', 'लहरानी', 'लहराने', 'लहराइत', 'घहराना']
['बिछुड़न', 'बिछुडऩे', 'बिछुडते', 'बिछुड़ों', 'बिछुड्ती', 'बिछुडी', 'बिछुड़ना']
['टाँगल', 'टाँगकर', 'टाँगले', 'टाँगा', 'टाँगेवाले', 'टाँगी', 'टाँगबो']
['सुटकना', 'टकना', 'छटकना', 'घुटकना', 'लुटकना', 'कटकना', 'सटकना']
['बंडलबाज़', 'बंडलबाज', 'बंडलों', 'बंडल्ड', 'बण्डल', "Rapist'We", 'बंडलर']
['डकरना', 'पकरना', 'चिकरना', 'मलकरना', 'गजकरना', 'बकरना', 'भीकरना']
['बिनीओन', 'पकिडकळि', 'सट्टे', 'जुआं', 'सट्टेबाजी', 'जुआरियों', 'जुआघर']
['कुश्तियों', 'कुश्ति', 'कुश्तियां', 'कुश्तीगीर', 'नूरा', 'कुश्तोखून', 'कुश्तीबाज']
['संघर्षं', 'संघर्षषील', 'संघर्षः', 'संघर्श', 'संघर्षहै', 'संघर्षांे', 'संघर्षमयी']
['फैंकना', 'फ़ेंकना', 'छेंकना', 'फिंकना', 'ढ़ूंकना', 'फेंकनी', 'छिंकना']
['ताननि', 'सानना', 'सनानना', 'ठानना', 'लगेI', 'उचकाना', 'छानना']
['होघूमना', 'फ़िरना', 'धूमना', 'फिरना', 'लूमना', 'टूमना', 'घूमने']
['धागाव', 'धागाजिसे', 'janeau', 'धागाकरण', 'धागों', 'धागेके', 'तागा']
['जवाबदेना', 'सिर्फपाना', 'जाएगाया', 'निकालतासंयंत्र', 'देखभालनवजात', 'सूनीता', 'samikshaa']
['छापनी', 'छापने', 'HYPNOSIS', 'छापनेका', 'छपवाकर', 'छपना', 'छापेगा']
['छुड़ाऊं', 'निहुड़ाना', 'छुड़ाइए', 'छुड़ाओ', 'छुड़वाना', 'बुड़ाना', 'लुड़खुड़ाना']
['रोनाधोना', 'धुलाना', 'Idaflieg.de', 'धोते', 'धोने', 'पोंछना', 'धोकर']
['धरनारत', 'धरनास्थल', 'धरनासभा', 'धरनावदा', 'धरनाSP', 'घेराव', 'अनशन']
['किहोना', 'नाहोना', 'तोहोना', 'हीहोना', 'बंदहोना', 'बैठेकरना', 'निकलजाता']
['वृद्घि', 'बढ़ोतरी', 'बढ़ोतरी', 'वद्धि', 'इजाफा', 'वृद्धी', 'वृध्दि']
['अचीरा', 'पचीरा', 'कनचीरा', 'चीराबगड़', 'मानचीरा', 'चीरे', 'इर्रदिंस']
